source_label,target_label,source,target
"Adams, Edward D.",Subsector 221-Utilities,36,192
"Adams, Edward D.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",36,193
"Adams, Edward D.",Subsector 482-Rail Transportation,36,194
"Adams, Edward D.","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",36,195
"Adams, Edward D.",Subsector 492-Couriers and Messengers,36,196
"Adams, Edward D.",Subsector 311-Food Manufacturing,36,197
"Adams, Edward D.",Subsector 236-Construction of Buildings,36,198
"Adams, Edward D.",Subsector 522-Credit Intermediation and Related Activities,36,199
"Adams, Edward D.",Subsector 212-Mining (except Oil and Gas),36,200
"Aitken, John W.","Subsector 424-Merchant Wholesalers, Nondurable Goods",37,201
"Aitken, John W.",Subsector 522-Credit Intermediation and Related Activities,37,199
"Aitken, John W.",Subsector 622-Hospitals,37,202
"Aitken, John W.",Subsector 524-Insurance Carriers and Related Activities,37,203
"Alger, Russel Alexander","Subsector 921-Executive, Legislative, and Other General Government Support",38,204
"Alger, Russel Alexander",Subsector 321-Wood Product Manufacturing,38,205
"Alger, Russel Alexander",Subsector 482-Rail Transportation,38,194
"Allis, Charles",Subsector 333-Machinery Manufacturing,39,206
"Allis, Charles","Subsector 525-Funds, Trusts, and Other Financial Vehicles",39,207
"Allis, Charles",Subsector 522-Credit Intermediation and Related Activities,39,199
"Allis, Charles",Subsector 524-Insurance Carriers and Related Activities,39,203
"Allis, Charles",Subsector 316-Leather and Allied Product Manufacturing,39,208
"Ames, Frederick Lothrop",Subsector 483-Water Transportation,40,209
"Ames, Frederick Lothrop",Subsector 522-Credit Intermediation and Related Activities,40,199
"Ames, Frederick Lothrop",Subsector 482-Rail Transportation,40,194
"Ames, Frederick Lothrop",Subsector 332-Fabricated Metal Product Manufacturing,40,210
"Ames, Oliver",Subsector 332-Fabricated Metal Product Manufacturing,41,210
"Ames, Oliver","Subsector 921-Executive, Legislative, and Other General Government Support",41,204
"Ames, Oliver",Subsector 482-Rail Transportation,41,194
"Andrews, William Loring",Subsector 519-Other Information Services,42,211
"Astor, John Jacob (III)","Subsector 525-Funds, Trusts, and Other Financial Vehicles",43,207
"Astor, John Jacob (III)",Subsector 517-Telecommunications,43,212
"Avery, Samuel Putnam","Subsector 711-Performing Arts, Spectator Sports, and Related Industries",44,213
"Avery, Samuel Putnam",Subsector 453-Miscellaneous Store Retailers,44,214
"Baker, George F.",Subsector 522-Credit Intermediation and Related Activities,45,199
"Baker, George F.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",45,193
"Baker, George F.",Subsector 221-Utilities,45,192
"Baker, George F.",Subsector 331-Primary Metal Manufacturing,45,215
"Baker, George F.",Subsector 517-Telecommunications,45,212
"Baker, George F.",Subsector 524-Insurance Carriers and Related Activities,45,203
"Baker, George F.",Subsector 482-Rail Transportation,45,194
"Bakewell, Allen Campbell",Subsector 221-Utilities,46,192
"Bangs, F.N.","Subsector 541-Professional, Scientific, and Technical Services",47,216
"Berwind, Edward Julius",Subsector 212-Mining (except Oil and Gas),177,200
"Berwind, Edward Julius",Subsector 483-Water Transportation,177,209
"Berwind, Edward Julius",Subsector 331-Primary Metal Manufacturing,177,215
"Berwind, Edward Julius",Subsector 482-Rail Transportation,177,194
"Berwind, Edward Julius",Subsector 522-Credit Intermediation and Related Activities,177,199
"Berwind, Edward Julius",Subsector 237-Heavy and Civil Engineering Construction,177,217
"Berwind, Edward Julius",Subsector 531-Real Estate,177,218
"Bishop, Heber R.",Subsector 311-Food Manufacturing,48,197
"Bishop, Heber R.",Subsector 482-Rail Transportation,48,194
"Bishop, Heber R.",Subsector 212-Mining (except Oil and Gas),48,200
"Bishop, Heber R.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",48,193
"Bishop, Heber R.",Subsector 485-Transit and Ground Passenger Transportation,48,219
"Bishop, Heber R.",Subsector 331-Primary Metal Manufacturing,48,215
"Blumenthal, George",Subsector 524-Insurance Carriers and Related Activities,1,203
"Blumenthal, George",Subsector 522-Credit Intermediation and Related Activities,1,199
"Blumenthal, George",Subsector 221-Utilities,1,192
"Blumenthal, George",Subsector 212-Mining (except Oil and Gas),1,200
"Blumenthal, George",Subsector 325-Chemical Manufacturing,1,220
"Blumenthal, George","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",1,193
"Borden, Matthew Challoner Durfee",Subsector 313-Textile Mills,49,221
"Borden, Matthew Challoner Durfee",Subsector 522-Credit Intermediation and Related Activities,49,199
"Bostwick, Jabez A.",Subsector 211-Oil and Gas Extraction,50,222
"Bostwick, Jabez A.",Subsector 482-Rail Transportation,50,194
"Brookfield, William",Subsector 327-Nonmetallic Mineral Product Manufacturing,2,223
"Brookfield, William",Subsector 332-Fabricated Metal Product Manufacturing,2,210
"Brookfield, William",Subsector 522-Credit Intermediation and Related Activities,2,199
"Brookfield, William",Subsector 524-Insurance Carriers and Related Activities,2,203
"Brookfield, William",Subsector 311-Food Manufacturing,2,197
"Burrage, Albert C.",Subsector 221-Utilities,3,192
"Burrage, Albert C.",Subsector 212-Mining (except Oil and Gas),3,200
"Burrage, Albert C.",Subsector 332-Fabricated Metal Product Manufacturing,3,210
"Burrage, Albert C.",Subsector 115-Support Activities for Agriculture and Forestry,3,224
"Butler, Theron R.",Subsector 482-Rail Transportation,51,194
"Butler, Theron R.","Subsector 424-Merchant Wholesalers, Nondurable Goods",51,201
"Carstairs, Charles Stewart",Subsector 453-Miscellaneous Store Retailers,52,214
"Carstairs, John Haseltine","Subsector 424-Merchant Wholesalers, Nondurable Goods",53,201
"Clark, William (Newark)",Subsector 313-Textile Mills,54,221
"Clark, William Andrews",Subsector 331-Primary Metal Manufacturing,4,215
"Clark, William Andrews",Subsector 112-Animal Production and Aquaculture,4,225
"Clark, William Andrews",Subsector 113-Forestry and Logging,4,226
"Clark, William Andrews",Subsector 511-Publishing Industries (except Internet),4,227
"Clark, William Andrews",Subsector 522-Credit Intermediation and Related Activities,4,199
"Clarke, Augustus W.",Subsector 453-Miscellaneous Store Retailers,5,214
"Clarke, Thomas B.",Subsector 315-Apparel Manufacturing,55,228
"Clarke, Thomas B.",Subsector 453-Miscellaneous Store Retailers,55,214
"Closson, James T.",Subsector 522-Credit Intermediation and Related Activities,56,199
"Clyde, William P.",Subsector 483-Water Transportation,57,209
"Clyde, William P.",Subsector 482-Rail Transportation,57,194
"Clyde, William P.",Subsector 336-Transportation Equipment Manufacturing,57,229
"Clyde, William P.",Subsector 212-Mining (except Oil and Gas),57,200
"Clyde, William P.",Subsector 531-Real Estate,57,218
"Cochran, Thomas",Subsector 522-Credit Intermediation and Related Activities,58,199
"Cochran, Thomas","Subsector 525-Funds, Trusts, and Other Financial Vehicles",58,207
"Cochran, Thomas",Subsector 212-Mining (except Oil and Gas),58,200
"Cochran, Thomas",Subsector 482-Rail Transportation,58,194
"Cochran, Thomas","Subsector 424-Merchant Wholesalers, Nondurable Goods",58,201
"Cochran, Thomas","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",58,193
"Cochran, Thomas",Subsector 332-Fabricated Metal Product Manufacturing,58,210
"Cochran, Thomas",Subsector 238-Specialty Trade Contractors,58,230
"Coffin, Charles Albert",Subsector 221-Utilities,59,192
"Coffin, Charles Albert",Subsector 316-Leather and Allied Product Manufacturing,59,208
"Connor, Washington Everett",Subsector 522-Credit Intermediation and Related Activities,6,199
"Connor, Washington Everett","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",6,193
"Cook, Henry H.",Subsector 524-Insurance Carriers and Related Activities,60,203
"Cook, Henry H.",Subsector 522-Credit Intermediation and Related Activities,60,199
"Cook, Henry H.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",60,207
"Crocker, Charles",Subsector 452-General Merchandise Stores,61,231
"Crocker, Charles",Subsector 482-Rail Transportation,61,194
"Crocker, Charles",Subsector 237-Heavy and Civil Engineering Construction,61,217
"Crocker, Charles",Subsector 522-Credit Intermediation and Related Activities,61,199
"Crocker, Charles",Subsector 212-Mining (except Oil and Gas),61,200
"Crocker, Charles","Subsector 921-Executive, Legislative, and Other General Government Support",61,204
"Crocker, Charles",Subsector 483-Water Transportation,61,209
"Curtis, George N.",Subsector 482-Rail Transportation,62,194
"Curtis, William John",Subsector 511-Publishing Industries (except Internet),63,227
"Curtis, William John","Subsector 541-Professional, Scientific, and Technical Services",63,216
"Curtis, William John",Subsector 331-Primary Metal Manufacturing,63,215
"Curtis, William John",Subsector 311-Food Manufacturing,63,197
"Curtis, William John",Subsector 238-Specialty Trade Contractors,63,230
"Curtis, William John",Subsector 482-Rail Transportation,63,194
"Curtis, William John",Subsector 315-Apparel Manufacturing,63,228
"Curtis, William John",Subsector 221-Utilities,63,192
"Curtis, William John",Subsector 322-Paper Manufacturing,63,232
"Davenport, Ira","Subsector 921-Executive, Legislative, and Other General Government Support",64,204
"Davis, Theodore M.","Subsector 541-Professional, Scientific, and Technical Services",65,216
"Davis, Theodore M.","Subsector 712-Museums, Historical Sites, and Similar Institutions",65,233
"Davis, Theodore M.",Subsector 212-Mining (except Oil and Gas),65,200
"Davis, Theodore M.",Subsector 522-Credit Intermediation and Related Activities,65,199
"De Lima, David A.","Subsector 424-Merchant Wholesalers, Nondurable Goods",7,201
"De Lima, David A.","Subsector 921-Executive, Legislative, and Other General Government Support",7,204
"De Lima, David A.",Subsector 482-Rail Transportation,7,194
"Dick, Harris Brisbane",Subsector 511-Publishing Industries (except Internet),66,227
"Dun, Robert Graham",Subsector 452-General Merchandise Stores,67,231
"Dun, Robert Graham",Subsector 561-Administrative and Support Services,67,234
"Ellsworth, James W.",Subsector 517-Telecommunications,68,212
"Ellsworth, James W.",Subsector 482-Rail Transportation,68,194
"Ellsworth, James W.",Subsector 212-Mining (except Oil and Gas),68,200
"Ellsworth, James W.",Subsector 522-Credit Intermediation and Related Activities,68,199
"Fahnestock, Harris Charles",Subsector 482-Rail Transportation,69,194
"Fahnestock, Harris Charles",Subsector 522-Credit Intermediation and Related Activities,69,199
"Fahnestock, Harris Charles",Subsector 311-Food Manufacturing,69,197
"Fahnestock, Harris Charles",Subsector 517-Telecommunications,69,212
"Fahnestock, Harris Charles",Subsector 221-Utilities,69,192
"Field, Marshall","Subsector 424-Merchant Wholesalers, Nondurable Goods",70,201
"Field, Marshall",Subsector 452-General Merchandise Stores,70,231
"Fiske, Josiah M.",Subsector 522-Credit Intermediation and Related Activities,71,199
"Fiske, Josiah M.","Subsector 424-Merchant Wholesalers, Nondurable Goods",71,201
"Fiske, Josiah M.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",71,207
"Fiske, Josiah M.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",71,193
"Flagler, Henry Morrison",Subsector 482-Rail Transportation,72,194
"Flagler, Henry Morrison","Subsector 424-Merchant Wholesalers, Nondurable Goods",72,201
"Flagler, Henry Morrison",Subsector 212-Mining (except Oil and Gas),72,200
"Flagler, Henry Morrison",Subsector 211-Oil and Gas Extraction,72,222
"Flagler, Henry Morrison",Subsector 721-Accommodation,72,235
"Flagler, Henry Morrison",Subsector 483-Water Transportation,72,209
"Fletcher, Isaac D.",Subsector 324-Petroleum and Coal Products Manufacturing,8,236
"Fletcher, Isaac D.",Subsector 221-Utilities,8,192
"Fletcher, Isaac D.",Subsector 333-Machinery Manufacturing,8,206
"Fletcher, Isaac D.",Subsector 321-Wood Product Manufacturing,8,205
"Fletcher, Isaac D.",Subsector 522-Credit Intermediation and Related Activities,8,199
"Flower, Frederick, S.",Subsector 522-Credit Intermediation and Related Activities,9,199
"Flower, Frederick, S.",Subsector 482-Rail Transportation,9,194
"Flower, Frederick, S.",Subsector 485-Transit and Ground Passenger Transportation,9,219
"Flower, Frederick, S.",Subsector 336-Transportation Equipment Manufacturing,9,229
"Flower, Frederick, S.",Subsector 221-Utilities,9,192
"Flower, Frederick, S.",Subsector 212-Mining (except Oil and Gas),9,200
"Foos, Lamar","Subsector 541-Professional, Scientific, and Technical Services",73,216
"Foos, Lamar",Subsector 333-Machinery Manufacturing,73,206
"Frick, Henry Clay (NY)",Subsector 212-Mining (except Oil and Gas),74,200
"Frick, Henry Clay (NY)",Subsector 331-Primary Metal Manufacturing,74,215
"Frick, Henry Clay (NY)","Subsector 525-Funds, Trusts, and Other Financial Vehicles",74,207
"Frick, Henry Clay (NY)",Subsector 312-Beverage and Tobacco Product Manufacturing,74,237
"Fry, John Hemming",Subsector 611-Educational Services,10,238
"Fry, John Hemming","Subsector 711-Performing Arts, Spectator Sports, and Related Industries 543",10,239
"Fuller, William H.",Subsector 444-Building Material and Garden Equipment and Supplies Dealers,75,240
"Fuller, William H.","Subsector 541-Professional, Scientific, and Technical Services",75,216
"Gardiner, George Schuyler",Subsector 321-Wood Product Manufacturing,11,205
"Gardiner, George Schuyler","Subsector 921-Executive, Legislative, and Other General Government Support",11,204
"Gary, Elbert H.",Subsector 331-Primary Metal Manufacturing,178,215
"Gary, Elbert H.",Subsector 336-Transportation Equipment Manufacturing,178,229
"Gary, Elbert H.",Subsector 531-Real Estate,178,218
"Gary, Elbert H.",Subsector 522-Credit Intermediation and Related Activities,178,199
"Gary, Elbert H.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",178,207
"Gould, Frank Jay",Subsector 221-Utilities,76,192
"Gould, Frank Jay",Subsector 721-Accommodation,76,235
"Gould, Frank Jay",Subsector 482-Rail Transportation,76,194
"Gould, Frank Jay",Subsector 517-Telecommunications,76,212
"Gould, Frank Jay","Subsector 525-Funds, Trusts, and Other Financial Vehicles",76,207
"Gould, Frank Jay",Subsector 492-Couriers and Messengers,76,196
"Gould, George Jay I","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",179,193
"Gould, George Jay I",Subsector 482-Rail Transportation,179,194
"Gould, George Jay I",Subsector 517-Telecommunications,179,212
"Gould, George Jay I",Subsector 485-Transit and Ground Passenger Transportation,179,219
"Gould, George Jay I",Subsector 522-Credit Intermediation and Related Activities,179,199
"Graham, Malcolm",Subsector 332-Fabricated Metal Product Manufacturing,77,210
"Harbeck, Charles T.",Subsector 511-Publishing Industries (except Internet),78,227
"Harbeck, Charles T.","Subsector 451-Sporting Goods, Hobby, Musical Instrument, and Book Stores",78,241
"Harding, J. Horace","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",79,193
"Harding, J. Horace",Subsector 522-Credit Intermediation and Related Activities,79,199
"Harding, J. Horace",Subsector 221-Utilities,79,192
"Harding, J. Horace",Subsector 212-Mining (except Oil and Gas),79,200
"Harding, J. Horace",Subsector 332-Fabricated Metal Product Manufacturing,79,210
"Harding, J. Horace",Subsector 482-Rail Transportation,79,194
"Harding, J. Horace",Subsector 312-Beverage and Tobacco Product Manufacturing,79,237
"Harding, J. Horace",Subsector 524-Insurance Carriers and Related Activities,79,203
"Harkness, Charles W.",Subsector 211-Oil and Gas Extraction,180,222
"Harkness, Charles W.",Subsector 482-Rail Transportation,180,194
"Harkness, Charles W.",Subsector 212-Mining (except Oil and Gas),180,200
"Harkness, Charles W.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",180,207
"Harkness, Charles W.","Subsector 541-Professional, Scientific, and Technical Services",180,216
"Harper, Fletcher, Jr.",Subsector 511-Publishing Industries (except Internet),80,227
"Harper, Joseph Abner",Subsector 511-Publishing Industries (except Internet),81,227
"Harrison, Hugh H.",Subsector 221-Utilities,12,192
"Harrison, Hugh H.","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",12,195
"Harrison, Hugh H.",Subsector 482-Rail Transportation,12,194
"Hartley, Marcellus",Subsector 332-Fabricated Metal Product Manufacturing,82,210
"Hartley, Marcellus","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",82,195
"Hartley, Marcellus",Subsector 524-Insurance Carriers and Related Activities,82,203
"Hartley, Marcellus",Subsector 522-Credit Intermediation and Related Activities,82,199
"Hartley, Marcellus","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",82,193
"Hartley, Marcellus",Subsector 561-Administrative and Support Services,82,234
"Hearn, George A.","Subsector 424-Merchant Wholesalers, Nondurable Goods",13,201
"Hearst, William Randolph",Subsector 511-Publishing Industries (except Internet),14,227
"Hearst, William Randolph",Subsector 112-Animal Production and Aquaculture,14,225
"Hearst, William Randolph",Subsector 512-Motion Picture and Sound Recording Industries,14,242
"Hearst, William Randolph","Subsector 921-Executive, Legislative, and Other General Government Support",14,204
"Heye, Dr. George G.",Subsector 212-Mining (except Oil and Gas),15,200
"Heye, Dr. George G.",Subsector 522-Credit Intermediation and Related Activities,15,199
"Heye, Dr. George G.","Subsector 712-Museums, Historical Sites, and Similar Institutions",15,233
"Hill, James N.",Subsector 482-Rail Transportation,83,194
"Hill, James N.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",83,193
"Hill, James N.",Subsector 531-Real Estate,83,218
"Hill, James N.",Subsector 522-Credit Intermediation and Related Activities,83,199
"Hill, James N.",Subsector 212-Mining (except Oil and Gas),83,200
"Hill, James N.",Subsector 211-Oil and Gas Extraction,83,222
"Hine, Francis L.",Subsector 522-Credit Intermediation and Related Activities,84,199
"Hine, Francis L.",Subsector 326-Plastics and Rubber Products Manufacturing,84,243
"Hine, Francis L.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",84,207
"Hine, Francis L.",Subsector 524-Insurance Carriers and Related Activities,84,203
"Hoagland, Joseph Christoffel",Subsector 311-Food Manufacturing,85,197
"Holmes, John Grier",Subsector 522-Credit Intermediation and Related Activities,86,199
"Holmes, John Grier",Subsector 485-Transit and Ground Passenger Transportation,86,219
"Holmes, John Grier",Subsector 524-Insurance Carriers and Related Activities,86,203
"Holmes, John Grier","Subsector 525-Funds, Trusts, and Other Financial Vehicles",86,207
"Horton, Henry Lawrence","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",87,193
"Hotchkiss, Horace L.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",88,193
"Hotchkiss, Horace L.",Subsector 517-Telecommunications,88,212
"Hotchkiss, Horace L.",Subsector 237-Heavy and Civil Engineering Construction,88,217
"Hoyt, Charles Albert",Subsector 326-Plastics and Rubber Products Manufacturing,89,243
"Hoyt, Charles Albert",Subsector 524-Insurance Carriers and Related Activities,89,203
"Humphreys, Dr. Alexander C.",Subsector 611-Educational Services,16,238
"Humphreys, Dr. Alexander C.",Subsector 221-Utilities,16,192
"Humphreys, Dr. Alexander C.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",16,193
"Huntington, Collis P.",Subsector 482-Rail Transportation,90,194
"Huntington, Collis P.",Subsector 336-Transportation Equipment Manufacturing,90,229
"Huntington, Collis P.","Subsector 423-Merchant Wholesalers, Durable Goods",90,244
"Huntington, Collis P.",Subsector 531-Real Estate,90,218
"Huntington, Henry Edwards","Subsector 423-Merchant Wholesalers, Durable Goods",91,244
"Huntington, Henry Edwards",Subsector 482-Rail Transportation,91,194
"Huntington, Henry Edwards",Subsector 485-Transit and Ground Passenger Transportation,91,219
"Huntington, Henry Edwards",Subsector 531-Real Estate,91,218
"Huntington, Henry Edwards",Subsector 221-Utilities,91,192
"Huntington, Henry Edwards",Subsector 336-Transportation Equipment Manufacturing,91,229
"Huntington, Henry Edwards","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",91,195
"Hyde, Clarence M.",Subsector 325-Chemical Manufacturing,92,220
"Hyde, Clarence M.","Subsector 541-Professional, Scientific, and Technical Services",92,216
"Hyde, Henry Baldwin",Subsector 524-Insurance Carriers and Related Activities,93,203
"Hyde, Henry Baldwin","Subsector 424-Merchant Wholesalers, Nondurable Goods",93,201
"Inglis, James Smith",Subsector 453-Miscellaneous Store Retailers,94,214
"Ives, Brayton C.",Subsector 482-Rail Transportation,95,194
"Ives, Brayton C.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",95,193
"Ives, Brayton C.",Subsector 311-Food Manufacturing,95,197
"Ives, Brayton C.",Subsector 531-Real Estate,95,218
"Ives, Brayton C.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",95,207
"Ives, Brayton C.",Subsector 115-Support Activities for Agriculture and Forestry,95,224
"Ives, Brayton C.",Subsector 522-Credit Intermediation and Related Activities,95,199
"Jackson, Edwin E.",Subsector 322-Paper Manufacturing,96,232
"Jackson, Edwin E.",Subsector 531-Real Estate,96,218
"Jackson, Edwin E.","Subsector 541-Professional, Scientific, and Technical Services",96,216
"Jackson, Edwin E.",Subsector 522-Credit Intermediation and Related Activities,96,199
"Jackson, Edwin E.",Subsector 524-Insurance Carriers and Related Activities,96,203
"Jennings, Frederick Beach","Subsector 541-Professional, Scientific, and Technical Services",97,216
"Jennings, Frederick Beach",Subsector 482-Rail Transportation,97,194
"Jennings, Frederick Beach",Subsector 322-Paper Manufacturing,97,232
"Jennings, Frederick Beach",Subsector 522-Credit Intermediation and Related Activities,97,199
"Jennings, Frederick Beach","Subsector 424-Merchant Wholesalers, Nondurable Goods",97,201
"Jennings, Frederick Beach","Subsector 525-Funds, Trusts, and Other Financial Vehicles",97,207
"Jennings, Frederick Beach",Subsector 321-Wood Product Manufacturing,97,205
"Jennings, Walter",Subsector 211-Oil and Gas Extraction,181,222
"Jennings, Walter",Subsector 339-Miscellaneous Manufacturing,181,245
"Jennings, Walter","Subsector 525-Funds, Trusts, and Other Financial Vehicles",181,207
"Jennings, Walter",Subsector 522-Credit Intermediation and Related Activities,181,199
"Jennings, Walter",Subsector 622-Hospitals,181,202
"King, David H., Jr.",Subsector 238-Specialty Trade Contractors,98,230
"King, David H., Jr.","Subsector 712-Museums, Historical Sites, and Similar Institutions",98,233
"King, David H., Jr.",Subsector 493-Warehousing and Storage,98,246
"Kirby, Thomas E.",Subsector 453-Miscellaneous Store Retailers,99,214
"Lambert, Catholina",Subsector 313-Textile Mills,17,221
"Lambert, Catholina","Subsector 525-Funds, Trusts, and Other Financial Vehicles",17,207
"Lambert, Catholina",Subsector 522-Credit Intermediation and Related Activities,17,199
"Lawrence, Cyrus I.",Subsector 522-Credit Intermediation and Related Activities,100,199
"Lawrence, Cyrus I.",Subsector 482-Rail Transportation,100,194
"Lawrence, Cyrus I.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",100,193
"Lawrence, Cyrus I.",Subsector 493-Warehousing and Storage,100,246
"Lawrence, Frank R.","Subsector 541-Professional, Scientific, and Technical Services",18,216
"Lawrence, Frank R.",Subsector 524-Insurance Carriers and Related Activities,18,203
"Lawrence, Frank R.",Subsector 522-Credit Intermediation and Related Activities,18,199
"Lawrence, Frank R.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",18,207
"Layton, Frederick",Subsector 311-Food Manufacturing,101,197
"Lehmaier, Louis A.",Subsector 511-Publishing Industries (except Internet),19,227
"Lehman, Arthur","Subsector 424-Merchant Wholesalers, Nondurable Goods",20,201
"Lehman, Arthur",Subsector 522-Credit Intermediation and Related Activities,20,199
"Lehman, Arthur",Subsector 332-Fabricated Metal Product Manufacturing,20,210
"Lehman, Arthur",Subsector 327-Nonmetallic Mineral Product Manufacturing,20,223
"Lehman, Arthur",Subsector 316-Leather and Allied Product Manufacturing,20,208
"Lehman, Arthur",Subsector 236-Construction of Buildings,20,198
"Lehman, Arthur",Subsector 321-Wood Product Manufacturing,20,205
"Lehman, Arthur","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",20,193
"Lehman, Arthur",Subsector 313-Textile Mills,20,221
"Lehman, Arthur",Subsector 452-General Merchandise Stores,20,231
"Lehman, Arthur",Subsector 311-Food Manufacturing,20,197
"Lehman, Arthur",Subsector 512-Motion Picture and Sound Recording Industries,20,242
"Lehman, Arthur",Subsector 339-Miscellaneous Manufacturing,20,245
"Lehman, Arthur",Subsector 493-Warehousing and Storage,20,246
"Lehman, Arthur",Subsector 221-Utilities,20,192
"Leighton, George E.",Subsector 482-Rail Transportation,102,194
"Leighton, George E.","Subsector 541-Professional, Scientific, and Technical Services",102,216
"Leighton, George E.","Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",102,195
"Leighton, George E.",Subsector 522-Credit Intermediation and Related Activities,102,199
"Leighton, George E.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",102,207
"Mansfield, Burton",Subsector 524-Insurance Carriers and Related Activities,21,203
"Mansfield, Burton","Subsector 541-Professional, Scientific, and Technical Services",21,216
"Mansfield, Burton",Subsector 522-Credit Intermediation and Related Activities,21,199
"Mansfield, Burton",Subsector 221-Utilities,21,192
"Mansfield, Burton",Subsector 339-Miscellaneous Manufacturing,21,245
"Mather, Samuel",Subsector 212-Mining (except Oil and Gas),103,200
"Mather, Samuel",Subsector 622-Hospitals,103,202
"Mather, Samuel",Subsector 331-Primary Metal Manufacturing,103,215
"Mather, Samuel",Subsector 522-Credit Intermediation and Related Activities,103,199
"McGarrah, G. W.",Subsector 522-Credit Intermediation and Related Activities,104,199
"McGarrah, G. W.",Subsector 521-Monetary Authorities-Central Bank,104,247
"McGarrah, G. W.",Subsector 482-Rail Transportation,104,194
"McGarrah, G. W.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",104,207
"Mellon, Andrew W.","Subsector 921-Executive, Legislative, and Other General Government Support",105,204
"Mellon, Andrew W.",Subsector 522-Credit Intermediation and Related Activities,105,199
"Mellon, Andrew W.","Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",105,193
"Mellon, Andrew W.",Subsector 211-Oil and Gas Extraction,105,222
"Mellon, Andrew W.",Subsector 331-Primary Metal Manufacturing,105,215
"Mellon, Andrew W.",Subsector 325-Chemical Manufacturing,105,220
"Mellon, Andrew W.",Subsector 312-Beverage and Tobacco Product Manufacturing,105,237
"Mellon, Andrew W.",Subsector 237-Heavy and Civil Engineering Construction,105,217
"Mellon, Andrew W.","Subsector 525-Funds, Trusts, and Other Financial Vehicles",105,207
"Mellon, Andrew W.",Subsector 336-Transportation Equipment Manufacturing,105,229
"Mellon, Andrew W.",Subsector 212-Mining (except Oil and Gas),105,200
